full_path,true_generator,pred_generator,confidence,entropy
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0004.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9683192,0.17046264409592038
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02996.png,PGGAN-v1,PGGAN-v1,0.46387756,1.2260227229759373
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_00494.png,FFHQ,FFHQ,0.8078337,0.4970584358436309
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\078861.jpg,CelebA,CelebA,0.99658763,0.023623351786391862
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_07643.png,PGGAN-v2,PGGAN-v2,0.85672194,0.44489861771640404
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02280-2.png,FaceApp,FaceApp,0.6650215,0.9246656190273066
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0691-30.png,StarGAN,StarGAN,0.99890625,0.008561222151806349
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_01720.png,PGGAN-v1,PGGAN-v1,0.7023004,0.7211018014076945
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0086.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9694528,0.1729641031503428
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\100335.jpg,CelebA,CelebA,0.923374,0.2710626305032853
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01054-1.png,FaceApp,FaceApp,0.32951626,1.4234126593930145
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09376.png,PGGAN-v2,FFHQ,0.68477887,1.0203385430662166
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_01569.png,PGGAN-v1,PGGAN-v2,0.511925,1.2470454973273553
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_07867.png,PGGAN-v2,PGGAN-v1,0.7150252,0.6706198209964418
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02372-1.png,FaceApp,FFHQ,0.6817589,0.9267247717945265
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_00539.png,PGGAN-v2,PGGAN-v1,0.93792355,0.28034372469298313
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\147238.jpg,CelebA,CelebA,0.99999607,5.887830668846915e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0686-24.png,StarGAN,StarGAN,0.99999213,0.00010364667735158844
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_06316.png,PGGAN-v1,PGGAN-v2,0.38326266,1.6359115646959181
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_02129.png,PGGAN-v2,PGGAN-v2,0.8354009,0.45700262106391687
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_05854.png,PGGAN-v1,PGGAN-v1,0.8918367,0.34524530109537455
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\075913.jpg,CelebA,CelebA,0.999223,0.007107291005412902
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08001.png,FFHQ,FFHQ,0.99668354,0.02474764863502627
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01972-1.png,FaceApp,FFHQ,0.7801871,0.7157853585892925
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0326-11.png,StarGAN,StarGAN,0.9999471,0.0005788990108816288
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_08211.png,PGGAN-v2,PGGAN-v1,0.6464639,0.6551756825111548
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09325.png,PGGAN-v2,PGGAN-v2,0.56371945,1.0437141279121946
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\111573.jpg,CelebA,CelebA,0.99998045,0.0002409556990979336
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00098-1.png,FaceApp,FaceApp,0.6747209,0.66663463633505
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0252-15.png,StarGAN,StarGAN,0.99966073,0.003149986458266873
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0862-32.png,StarGAN,StarGAN,0.9994252,0.004877063075849587
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00661-3.png,FaceApp,PGGAN-v2,0.9005133,0.3635247520182349
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08918.png,FFHQ,FFHQ,0.62644386,0.6619295494865237
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p04_s002.png,SD1.5,FFHQ,0.66132,0.8381233414153967
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0016.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9979267,0.015359764415504698
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09355.png,PGGAN-v2,PGGAN-v2,0.9076431,0.32055665098837083
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02238-2.png,FaceApp,FaceApp,0.3991968,1.5107613832339253
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0213-08.png,StarGAN,StarGAN,0.99999344,8.678939500001516e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p05_s006.png,SD1.5,SD1.5,0.5702822,1.256093673463841
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_05219.png,PGGAN-v1,PGGAN-v1,0.8322311,0.5162993826967358
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p02_s009.png,SD1.5,FLUX,0.94257283,0.2787884424910242
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01139-3.png,FaceApp,FaceApp,0.44725227,1.2903396486014438
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p01_s003.png,FLUX,FLUX,0.8730053,0.3806571954233343
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02509-1.png,FaceApp,FFHQ,0.5268558,0.7117209694308967
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_03742.png,PGGAN-v1,PGGAN-v2,0.5781785,0.8785893787845422
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p07_s007.png,FLUX,CelebA,0.4506589,1.3122323150344168
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0048.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.96223414,0.1819582676828047
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\029_03.jpg,London-DB,London-DB,0.99999595,5.676328958472477e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p02_s010.png,SD1.5,SD1.5,0.5380748,1.2878233151599243
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\053277.jpg,CelebA,CelebA,0.9999937,9.192075863385941e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p07_s000.png,SD1.5,SD1.5,0.40654045,1.4605897479955356
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p04_s006.png,FLUX,FLUX,0.99999106,0.00012370572216304163
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\140041.jpg,CelebA,CelebA,0.9999989,1.6299863193409262e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_00660.png,PGGAN-v2,PGGAN-v1,0.6496624,0.6846066618476866
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02882.png,PGGAN-v1,PGGAN-v2,0.8800333,0.40392844002493256
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08603.png,FFHQ,FaceApp,0.9184679,0.3032141255821348
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p07_s007.png,SD1.5,FFHQ,0.7666213,0.8766686875793217
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_07491.png,PGGAN-v1,PGGAN-v1,0.89752847,0.3941366474811203
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00699-2.png,FaceApp,FaceApp,0.9158976,0.3658089048414168
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p07_s008.png,FLUX,FLUX,0.9946097,0.03660451298329421
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p05_s011.png,SD1.5,FFHQ,0.4180828,1.5726558539607753
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01107-1.png,FaceApp,FaceApp,0.65191054,0.8310802574647165
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p08_s011.png,FLUX,FFHQ,0.64437777,0.9666968724477392
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\087_03.jpg,London-DB,London-DB,0.9999924,0.0001035969046072748
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07452.png,FFHQ,FFHQ,0.76988596,0.8054207212250759
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0067.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9999925,0.00010358318129935556
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_07560.png,PGGAN-v1,FFHQ,0.4411953,1.2368115076881543
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0500-21.png,StarGAN,StarGAN,0.9999132,0.0009008149196582126
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0827-39.png,StarGAN,StarGAN,0.9999591,0.00045641296133309815
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_01661.png,PGGAN-v2,PGGAN-v2,0.88324845,0.4704747918005908
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00134-3.png,FaceApp,FaceApp,0.9656114,0.18516106045176545
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\055722.jpg,CelebA,CelebA,0.90526664,0.4526015244970497
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_06303.png,FFHQ,FFHQ,0.65728307,0.8783275495443801
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04096.png,FFHQ,SD1.5,0.57713866,1.3101849333667275
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_06487.png,PGGAN-v2,PGGAN-v2,0.9551111,0.22360887607479177
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01416-2.png,FaceApp,FaceApp,0.7180722,0.8108151950739098
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_08626.png,PGGAN-v1,PGGAN-v2,0.39164257,1.2115629943469595
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_03959.png,PGGAN-v2,PGGAN-v1,0.5296266,1.1291599706556097
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_05368.png,PGGAN-v2,FFHQ,0.8777415,0.487507020537114
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\196258.jpg,CelebA,CelebA,0.9980106,0.016626188300869094
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p01_s004.png,FLUX,FLUX,0.99981624,0.0019724235149792056
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_08904.png,PGGAN-v1,PGGAN-v2,0.6580021,0.7036012608982173
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00497-2.png,FaceApp,FaceApp,0.99926823,0.006318104767712035
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0226-07.png,StarGAN,StarGAN,0.99945444,0.004702958144088577
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07287.png,FFHQ,FFHQ,0.7391087,0.6571389722187647
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\128_03.jpg,London-DB,London-DB,0.98734426,0.07581317094415085
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01431-1.png,FaceApp,PGGAN-v2,0.5388714,1.2647582562701642
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0031.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.994208,0.04329549864175775
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\121_03.jpg,London-DB,London-DB,0.9999784,0.00027499620805711896
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\000382.jpg,CelebA,CelebA,0.99994266,0.000643576362835441
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p01_s010.png,FLUX,FLUX,0.9999839,0.00021336719426808974
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02129-2.png,FaceApp,PGGAN-v1,0.72450864,0.8129445535796211
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00213.png,PGGAN-v1,PGGAN-v1,0.5427833,0.7154195992986268
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_03623.png,PGGAN-v2,PGGAN-v1,0.7023783,1.0828880982039668
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\190701.jpg,CelebA,CelebA,0.999694,0.00282651671792714
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\001_03.jpg,London-DB,London-DB,0.924418,0.3809084721720124
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p08_s008.png,SD1.5,SD1.5,0.96058905,0.23530743588517664
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0693-29.png,StarGAN,StarGAN,0.99053484,0.05359465772097121
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\100_03.jpg,London-DB,London-DB,0.9998605,0.0015147692394653573
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p00_s007.png,SD1.5,SD1.5,0.57198614,1.0154349174679798
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00703.png,PGGAN-v1,PGGAN-v1,0.90473735,0.31986141646690247
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0142-10.png,StarGAN,StarGAN,0.99989724,0.0010470692191919294
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\066_03.jpg,London-DB,London-DB,0.99714345,0.021780989649714956
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0924-39.png,StarGAN,StarGAN,0.9999939,8.002643935125026e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_00239.png,PGGAN-v2,FaceApp,0.5124326,1.0555706672219634
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p08_s002.png,FLUX,FLUX,0.6133101,0.9872990104995681
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08530.png,FFHQ,FFHQ,0.90085095,0.3805374170670999
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00114-3.png,FaceApp,FaceApp,0.5335827,1.030035318073248
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0013.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.99893886,0.009644354765820757
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0123-03.png,StarGAN,StarGAN,0.9999963,5.160452867650693e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07873.png,FFHQ,FFHQ,0.99686867,0.02143906012522766
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0480-11.png,StarGAN,StarGAN,0.99994564,0.0005951006506029739
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p07_s005.png,FLUX,FLUX,0.93142796,0.2806366433418286
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0049.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.98710907,0.08679051977025543
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\200462.jpg,CelebA,CelebA,0.99872094,0.011075818388734072
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09905.png,PGGAN-v2,PGGAN-v2,0.877598,0.3950805881393906
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_09971.png,PGGAN-v1,PGGAN-v1,0.695272,0.6745397693368679
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\184897.jpg,CelebA,CelebA,0.9993814,0.005516769696992272
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0955-37.png,StarGAN,StarGAN,0.9999547,0.000499739322345255
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0865-40.png,StarGAN,StarGAN,0.99939287,0.005175453198915152
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0617-27.png,StarGAN,StarGAN,0.99993706,0.0006727006703484631
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p00_s000.png,FLUX,FLUX,0.99953544,0.0045273627480078545
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_06378.png,FFHQ,FFHQ,0.52771574,1.2123833712517291
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_04501.png,PGGAN-v1,PGGAN-v1,0.8535777,0.5522638436630873
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07116.png,FFHQ,FFHQ,0.9111656,0.31757217880762356
